semilla,type,auc,ganancia
999979,train,0.801962012455764,2303750
999979,test,0.783998271280571,1057500
899971,train,0.830031552694815,3061250
899971,test,0.785526366401299,368750
799949,train,0.796057820871771,2240000
799949,test,0.829095161398597,1398750
699863,train,0.820642524238913,1298750
699863,test,0.847189599802432,1100000
599803,train,0.802150109969445,2731250
599803,test,0.804209662110812,687500
